=== preflight ===
NVIDIA GeForce RTX 3090, 24576 MiB
torch 1.13.1+cu117 | cuda True
  found: /home/asm242/entexBERT-2/DNABERT-2-117M-attention
  found: /home/asm242/reference_genome/hg38.fa
  found: /home/asm242/palmer_scratch/entex_data/hetSNVs.tsv
  found: /home/asm242/palmer_scratch/entexBERT-2_experiments/ADASTRA/ctcf_adastra_evalset.csv
  found: /home/asm242/palmer_scratch/entexBERT-2_experiments/EN-TEx/experiments/stage2_ctcf_asb/inputs/train.meta.csv
  found: /home/asm242/palmer_scratch/entexBERT-2_experiments/EN-TEx/experiments/stage2_ctcf_asb/inputs/dev.meta.csv

=== STEP A: select best 2a checkpoint ===
[STEP A] BEST 2a: s=20  dev_spearman=0.06330
[STEP A] ckpt = /home/asm242/palmer_scratch/entexBERT-2_experiments/EN-TEx/experiments/stage2_ctcf_asb/runs/asb_2a_s20
[STEP A] OK

=== STEP 2b: gentle unfreeze from best 2a (s=20) ===
{'loss': 0.2603, 'learning_rate': 1.2000000000000002e-06, 'epoch': 0.0}
{'loss': 0.3577, 'learning_rate': 2.4000000000000003e-06, 'epoch': 0.0}
{'loss': 0.4406, 'learning_rate': 2.998727843270291e-06, 'epoch': 0.01}
{'loss': 0.4073, 'learning_rate': 2.9961835298108728e-06, 'epoch': 0.01}
{'loss': 0.3126, 'learning_rate': 2.9936392163514547e-06, 'epoch': 0.01}
{'loss': 0.4263, 'learning_rate': 2.991094902892036e-06, 'epoch': 0.01}
{'loss': 0.3551, 'learning_rate': 2.988550589432618e-06, 'epoch': 0.01}
{'loss': 0.3264, 'learning_rate': 2.9860062759732e-06, 'epoch': 0.01}
{'loss': 0.5846, 'learning_rate': 2.9834619625137816e-06, 'epoch': 0.02}
{'loss': 0.7322, 'learning_rate': 2.9809176490543635e-06, 'epoch': 0.02}
{'loss': 0.4765, 'learning_rate': 2.9783733355949454e-06, 'epoch': 0.02}
{'loss': 0.4023, 'learning_rate': 2.9758290221355274e-06, 'epoch': 0.02}
{'loss': 0.4637, 'learning_rate': 2.973284708676109e-06, 'epoch': 0.02}
{'loss': 0.3288, 'learning_rate': 2.970740395216691e-06, 'epoch': 0.02}
{'loss': 0.3779, 'learning_rate': 2.9681960817572727e-06, 'epoch': 0.03}
{'loss': 0.5631, 'learning_rate': 2.9656517682978543e-06, 'epoch': 0.03}
{'loss': 0.4117, 'learning_rate': 2.963107454838436e-06, 'epoch': 0.03}
{'loss': 0.371, 'learning_rate': 2.960563141379018e-06, 'epoch': 0.03}
{'loss': 0.3061, 'learning_rate': 2.9580188279195996e-06, 'epoch': 0.03}
{'loss': 0.2946, 'learning_rate': 2.9554745144601816e-06, 'epoch': 0.03}
{'loss': 0.2935, 'learning_rate': 2.9529302010007635e-06, 'epoch': 0.04}
{'loss': 0.1821, 'learning_rate': 2.950385887541345e-06, 'epoch': 0.04}
{'loss': 0.5753, 'learning_rate': 2.947841574081927e-06, 'epoch': 0.04}
{'loss': 0.6876, 'learning_rate': 2.945297260622509e-06, 'epoch': 0.04}
{'loss': 0.2452, 'learning_rate': 2.942752947163091e-06, 'epoch': 0.04}
{'eval_loss': 0.3738046884536743, 'eval_mse': 0.3778664011549176, 'eval_pearson': 0.1296901328293135, 'eval_spearman': 0.03302830542620024, 'eval_auroc': 0.5098864504036859, 'eval_runtime': 19.9163, 'eval_samples_per_second': 1120.139, 'eval_steps_per_second': 17.523, 'epoch': 0.04}
{'loss': 0.5313, 'learning_rate': 2.9402086337036723e-06, 'epoch': 0.04}
{'loss': 0.3198, 'learning_rate': 2.937664320244254e-06, 'epoch': 0.05}
{'loss': 0.5779, 'learning_rate': 2.935120006784836e-06, 'epoch': 0.05}
{'loss': 0.494, 'learning_rate': 2.9325756933254177e-06, 'epoch': 0.05}
{'loss': 0.2461, 'learning_rate': 2.9300313798659996e-06, 'epoch': 0.05}
{'loss': 0.7862, 'learning_rate': 2.9274870664065815e-06, 'epoch': 0.05}
{'loss': 0.4736, 'learning_rate': 2.924942752947163e-06, 'epoch': 0.05}
{'loss': 0.1979, 'learning_rate': 2.922398439487745e-06, 'epoch': 0.06}
{'loss': 0.5304, 'learning_rate': 2.919854126028327e-06, 'epoch': 0.06}
{'loss': 0.5496, 'learning_rate': 2.9173098125689084e-06, 'epoch': 0.06}
{'loss': 0.5803, 'learning_rate': 2.9147654991094904e-06, 'epoch': 0.06}
{'loss': 0.3349, 'learning_rate': 2.912221185650072e-06, 'epoch': 0.06}
{'loss': 0.3487, 'learning_rate': 2.9096768721906542e-06, 'epoch': 0.06}
{'loss': 0.3107, 'learning_rate': 2.9071325587312357e-06, 'epoch': 0.07}
{'loss': 0.569, 'learning_rate': 2.9045882452718172e-06, 'epoch': 0.07}
{'loss': 0.4463, 'learning_rate': 2.9020439318123996e-06, 'epoch': 0.07}
{'loss': 0.4025, 'learning_rate': 2.899499618352981e-06, 'epoch': 0.07}
{'loss': 0.4494, 'learning_rate': 2.896955304893563e-06, 'epoch': 0.07}
{'loss': 0.5686, 'learning_rate': 2.894410991434145e-06, 'epoch': 0.07}
{'loss': 0.5004, 'learning_rate': 2.8918666779747265e-06, 'epoch': 0.08}
{'loss': 0.4605, 'learning_rate': 2.8893223645153084e-06, 'epoch': 0.08}
{'loss': 0.5248, 'learning_rate': 2.8867780510558903e-06, 'epoch': 0.08}
{'loss': 0.7593, 'learning_rate': 2.884233737596472e-06, 'epoch': 0.08}
{'loss': 0.6558, 'learning_rate': 2.881689424137054e-06, 'epoch': 0.08}
{'loss': 0.7408, 'learning_rate': 2.8791451106776353e-06, 'epoch': 0.08}
{'eval_loss': 0.3699413537979126, 'eval_mse': 0.3743410214471289, 'eval_pearson': 0.1673120666441309, 'eval_spearman': 0.04606866794406327, 'eval_auroc': 0.5175993461462794, 'eval_runtime': 19.9383, 'eval_samples_per_second': 1118.901, 'eval_steps_per_second': 17.504, 'epoch': 0.08}
{'loss': 0.4128, 'learning_rate': 2.8766007972182177e-06, 'epoch': 0.09}
{'loss': 0.3625, 'learning_rate': 2.874056483758799e-06, 'epoch': 0.09}
{'loss': 0.3698, 'learning_rate': 2.8715121702993807e-06, 'epoch': 0.09}
{'loss': 0.2817, 'learning_rate': 2.868967856839963e-06, 'epoch': 0.09}
{'loss': 0.5305, 'learning_rate': 2.8664235433805445e-06, 'epoch': 0.09}
{'loss': 0.5871, 'learning_rate': 2.8638792299211265e-06, 'epoch': 0.09}
{'loss': 0.2866, 'learning_rate': 2.8613349164617084e-06, 'epoch': 0.1}
{'loss': 0.3904, 'learning_rate': 2.85879060300229e-06, 'epoch': 0.1}
{'loss': 0.4727, 'learning_rate': 2.856246289542872e-06, 'epoch': 0.1}
{'loss': 0.4627, 'learning_rate': 2.8537019760834534e-06, 'epoch': 0.1}
{'loss': 0.5223, 'learning_rate': 2.8511576626240353e-06, 'epoch': 0.1}
{'loss': 0.6646, 'learning_rate': 2.8486133491646172e-06, 'epoch': 0.1}
{'loss': 0.2082, 'learning_rate': 2.8460690357051987e-06, 'epoch': 0.11}
{'loss': 0.9, 'learning_rate': 2.8435247222457807e-06, 'epoch': 0.11}
{'loss': 0.5369, 'learning_rate': 2.8409804087863626e-06, 'epoch': 0.11}
{'loss': 0.3704, 'learning_rate': 2.838436095326944e-06, 'epoch': 0.11}
{'loss': 0.518, 'learning_rate': 2.8358917818675265e-06, 'epoch': 0.11}
{'loss': 0.6416, 'learning_rate': 2.833347468408108e-06, 'epoch': 0.12}
